,WikiPageName,Party,State,TwitterHandle
107,Steve_King,Republican,Iowa,SteveKingIA
108,Tim_Murphy_(American_politician),Republican,Pennsylvania,Tim_Walz
109,Devin_Nunes,Republican,California,RepDevinNunes
110,Mike_Rogers_(Alabama_politician),Republican,Alabama,RepMikeRogersAL
111,Dutch_Ruppersberger,Democratic,Maryland,Call_Me_Dutch
112,Tim_Ryan_(politician),Democratic,Ohio,RepTimRyan
113,Linda_Sánchez,Democratic,California,RepLindaSanchez
114,David_Scott_(Georgia_politician),Democratic,Georgia,repdavidscott
115,Mike_Turner,Republican,Ohio,RepMikeTurner
116,G._K._Butterfield,Democratic,North Carolina,GKButterfield
117,Emanuel_Cleaver,Democratic,Missouri,repcleaver
118,Mike_Conaway,Republican,Texas,ConawayTX11
119,Jim_Costa,Democratic,California,RepJimCosta
120,Henry_Cuellar,Democratic,Texas,RepCuellar
121,Charlie_Dent,Republican,Pennsylvania,N/A
122,Jeff_Fortenberry,Republican,Nebraska,RepJeffries
123,Virginia_Foxx,Republican,North Carolina,virginiafoxx
124,Louie_Gohmert,Republican,Texas,replouiegohmert
125,Al_Green_(politician),Democratic,Texas,RepRoybalAllard
126,Brian_Higgins,Democratic,New York,RepBrianHiggins
127,Dan_Lipinski,Democratic,Illinois,RepLipinski
128,Kenny_Marchant,Republican,Texas,N/A
129,Michael_McCaul,Republican,Texas,RepMcCaul
130,Patrick_McHenry,Republican,North Carolina,PatrickMcHenry
131,Cathy_McMorris_Rodgers,Republican,Washington,cathymcmorris
132,Gwen_Moore,Democratic,Wisconsin,RepGwenMoore
133,Ted_Poe,Republican,Texas,JudgeTedPoe
134,Tom_Price_(American_politician),Republican,Georgia,TomColeOK04
135,Dave_Reichert,Republican,Washington,RepDaveJoyce
136,Debbie_Wasserman_Schultz,Democratic,Florida,RepDWStweets
137,Doris_Matsui,Democratic,California,DorisMatsui
138,Albio_Sires,Democratic,New Jersey,RepSires
139,Steve_Pearce_(politician),Republican,New Mexico,N/A
140,Gus_Bilirakis,Republican,Florida,RepGusBilirakis
141,Vern_Buchanan,Republican,Florida,VernBuchanan
142,Kathy_Castor,Democratic,Florida,USRepKCastor
143,Yvette_Clarke,Democratic,New York,RepYvetteClarke
144,Steve_Cohen,Democratic,Tennessee,RepCohen
145,Joe_Courtney_(politician),Democratic,Connecticut,RepJoeCourtney
146,Keith_Ellison,Democratic,Minnesota,RothfusForPA
147,Hank_Johnson,Democratic,Georgia,RepHankJohnson
148,Jim_Jordan_(American_politician),Republican,Ohio,Jim_Jordan
149,Doug_Lamborn,Republican,Colorado,RepDLamborn
150,Dave_Loebsack,Democratic,Iowa,daveloebsack
151,Kevin_McCarthy_(California_politician),Republican,California,GOPLeader
152,Jerry_McNerney,Democratic,California,RepMcNerney
153,Ed_Perlmutter,Democratic,Colorado,RepPerlmutter
154,Pete_Roskam,Republican,Illinois,PeteSessions
155,John_Sarbanes,Democratic,Maryland,RepSarbanes
156,Adrian_Smith_(politician),Republican,Nebraska,RepAdrianSmith
157,Tim_Walz,Democratic,Minnesota,RepTimWalz
158,Peter_Welch,Democratic,Vermont,PeterWelch
159,John_Yarmuth,Democratic,Kentucky,RepJohnYarmuth
160,Niki_Tsongas,Democratic,Massachusetts,nikiinthehouse
161,Bob_Latta,Republican,Ohio,boblatta
162,Rob_Wittman,Republican,Virginia,RepRobBishop
163,André_Carson,Democratic,Indiana,RepAndreCarson
164,Jackie_Speier,Democratic,California,RepSpeier
165,Steve_Scalise,Republican,Louisiana,SteveScalise
166,Marcia_Fudge,Democratic,Ohio,RepMarciaFudge
167,Rick_Nolan,Democratic,Minnesota,USRepRickNolan
168,Mark_Sanford,Republican,South Carolina,MarkPocan
169,Jason_Chaffetz,Republican,Utah,N/A
170,Mike_Coffman,Republican,Colorado,RepMikeCoffman
171,Gerry_Connolly,Democratic,Virginia,GerryConnolly
172,Brett_Guthrie,Republican,Kentucky,RepGuthrie
173,Gregg_Harper,Republican,Mississippi,GreggHarper
174,Jim_Himes,Democratic,Connecticut,jahimes
175,Duncan_D._Hunter,Republican,California,Rep_Hunter
176,Lynn_Jenkins,Republican,Kansas,RobinLynneKelly
177,Leonard_Lance,Republican,New Jersey,RepLanceNJ7
178,Blaine_Luetkemeyer,Republican,Missouri,RepBlaine
179,Ben_Ray_Luján,Democratic,New Mexico,RepDelBene
180,Tom_McClintock,Republican,California,RepMcClintock
181,Pete_Olson,Republican,Texas,RepPeteOlson
182,Erik_Paulsen,Republican,Minnesota,RepErikPaulsen
183,Chellie_Pingree,Democratic,Maine,chelliepingree
184,Jared_Polis,Democratic,Colorado,RepJaredPolis
185,Bill_Posey,Republican,Florida,congbillposey
186,Phil_Roe_(politician),Republican,Tennessee,DrPhilRoe
187,Tom_Rooney_(Florida_politician),Republican,Florida,TomRooney
188,Kurt_Schrader,Democratic,Oregon,RepSchrader
189,Glenn_Thompson_(politician),Republican,Pennsylvania,CongressmanGT
190,Paul_Tonko,Democratic,New York,RepPaulTonko
191,Mike_Quigley_(politician),Democratic,Illinois,RepMikeQuigley
192,Judy_Chu,Democratic,California,RepJudyChu
193,John_Garamendi,Democratic,California,RepGaramendi
194,Ted_Deutch,Democratic,Florida,RepTedDeutch
195,Tom_Graves,Republican,Georgia,RepTomGraves
196,Tom_Reed_(politician),Republican,New York,RepTomReed
197,Tim_Walberg,Republican,Michigan,RepWalberg
198,Bill_Foster_(politician),Democratic,Illinois,RepBillFoster
199,Justin_Amash,Republican,Michigan,justinamash
200,Lou_Barletta,Republican,Pennsylvania,RepLoudermilk
201,Karen_Bass,Democratic,California,RepKarenBass
202,Diane_Black,Republican,Tennessee,MarshaBlackburn
203,Mo_Brooks,Republican,Alabama,RepMoolenaar
204,Larry_Bucshon,Republican,Indiana,RepLarryBucshon
205,David_Cicilline,Democratic,Rhode Island,RepCicilline
206,Rick_Crawford_(politician),Republican,Arkansas,RepRickCrawford
207,Jeff_Denham,Republican,California,RepJeffDenham
208,Scott_DesJarlais,Republican,Tennessee,DesJarlaisTN04
209,Sean_Duffy,Republican,Wisconsin,RepSeanDuffy
210,Jeff_Duncan_(politician),Republican,South Carolina,RepJeffDuncan
211,Blake_Farenthold,Republican,Texas,farenthold
212,Chuck_Fleischmann,Republican,Tennessee,RepChuck
213,Bill_Flores,Republican,Texas,RepBillFlores
214,Bob_Gibbs,Republican,Ohio,RepBobGibbs
215,Paul_Gosar,Republican,Arizona,RepGosar
216,Trey_Gowdy,Republican,South Carolina,TGowdySC
217,Morgan_Griffith,Republican,Virginia,RepMGriffith
218,Andy_Harris_(politician),Republican,Maryland,RepAndyHarrisMD
219,Vicky_Hartzler,Republican,Missouri,RepHartzler
220,Jaime_Herrera_Beutler,Republican,Washington,HerreraBeutler
221,Bill_Huizenga,Republican,Michigan,RepHuizenga
222,Randy_Hultgren,Republican,Illinois,RepHultgren
223,Bill_Johnson_(Ohio_politician),Republican,Ohio,RepBillJohnson
224,Bill_Keating_(politician),Democratic,Massachusetts,USRepKeating
225,Mike_Kelly_(Pennsylvania_politician),Republican,Pennsylvania,MikeKellyPA
226,Adam_Kinzinger,Republican,Illinois,RepKinzinger
227,Raúl_Labrador,Republican,Idaho,Raul_Labrador
228,Billy_Long,Republican,Missouri,USRepLong
229,Tom_Marino,Republican,Pennsylvania,RepTomMarino
230,David_McKinley,Republican,West Virginia,RepMcKinley
231,Pat_Meehan,Republican,Pennsylvania,N/A
232,Mick_Mulvaney,Republican,South Carolina,N/A
233,Kristi_Noem,Republican,South Dakota,RepKristiNoem
234,Steven_Palazzo,Republican,Mississippi,CongPalazzo
235,Mike_Pompeo,Republican,Kansas,N/A
236,Jim_Renacci,Republican,Ohio,RepJimRenacci
237,Cedric_Richmond,Democratic,Louisiana,RepRichmond
238,Martha_Roby,Republican,Alabama,RepMarthaRoby
239,Todd_Rokita,Republican,Indiana,ToddRokita
240,Dennis_Ross_(politician),Republican,Florida,RepDennisRoss
241,David_Schweikert,Republican,Arizona,RepDavid
242,Austin_Scott_(politician),Republican,Georgia,AustinScottGA08
243,Terri_Sewell,Democratic,Alabama,RepTerriSewell
244,Steve_Stivers,Republican,Ohio,RepSteveStivers
245,Scott_Tipton,Republican,Colorado,RepTipton
246,Daniel_Webster_(Florida_politician),Republican,Florida,RepWebster
247,Frederica_Wilson,Democratic,Florida,RepWilson
248,Steve_Womack,Republican,Arkansas,rep_stevewomack
249,Rob_Woodall,Republican,Georgia,RepRobWoodall
250,Kevin_Yoder,Republican,Kansas,RepKevinYoder
251,Mark_Amodei,Republican,Nevada,MarkAmodeiNV2
252,Suzanne_Bonamici,Democratic,Oregon,RepBonamici
253,Suzan_DelBene,Democratic,Washington,N/A
254,Thomas_Massie,Republican,Kentucky,RepThomasMassie
255,Donald_Payne_Jr.,Democratic,New Jersey,RepDonaldPayne
256,Dina_Titus,Democratic,Nevada,repdinatitus
257,Carol_Shea-Porter,Democratic,New Hampshire,RepSheaPorter
258,Colleen_Hanabusa,Democratic,Hawaii,RepHanabusa
259,Andy_Barr_(American_politician),Republican,Kentucky,RepAndyBarr
260,Joyce_Beatty,Democratic,Ohio,RepBeatty
261,Ami_Bera,Democratic,California,RepBera
262,Jim_Bridenstine,Republican,Oklahoma,RepJBridenstine
263,Susan_Brooks,Republican,Indiana,SusanWBrooks
